Symbol,ISIN,Company Name,Board,Delisted Date,Type
MBIND,INE110601015,MB Industries Limited,Main Board,2017-03-24,Compulsory Delisting
NOVAELEMAG,INE219701013,Nova Electro Magnetics Limited,Main Board,2017-03-24,Compulsory Delisting
PANCHMACEM,INE231201018,Panchmahal Cement Company Limited,Main Board,2017-03-24,Compulsory Delisting
PATWIDECOM,INE234701014,Patel's Widecom (India) Limited,Main Board,2017-03-24,Compulsory Delisting
RINKIPETRO,INE270401016,Motorol Enterprises Limited,Main Board,2017-03-24,Compulsory Delisting
ROOFITIND,INE743A01017,Roofit Industries Limited,Main Board,2017-03-24,Compulsory Delisting
SCINTSOFT,INE355B01018,Scintilla Software Technology Limited,Main Board,2017-03-24,Compulsory Delisting
SHRVINDPPR,INE210D01011,Shree Vindhya Paper Mills Limited,Main Board,2017-03-24,Compulsory Delisting
SMFINANC,INE464101018,S M Finance Limited,Main Board,2017-03-24,Compulsory Delisting
SOMANICEM,INE372501010,Somani Cement Company Limited,Main Board,2017-03-24,Compulsory Delisting
SQRDSFWARE,INE286A01017,DSQ Software Limited,Main Board,2017-03-24,Compulsory Delisting
STEELTUBES,INE926A01018,Steel Tubes of India Limited,Main Board,2017-03-24,Compulsory Delisting
SUNEARTH,INE744A01015,Sun Earth Ceramics Limited,Main Board,2017-03-24,Compulsory Delisting
SYNTHCHEM,INE024A01012,Synthetics & Chemicals Limited,Main Board,2017-03-24,Compulsory Delisting
TELEDATAGL,INE480B01022,Teledata Informatics Limited,Main Board,2017-03-24,Compulsory Delisting
VISHALEXPO,INE167C01023,Vishal Exports Overseas Limited,Main Board,2017-03-24,Compulsory Delisting
VISIONLTD,INE514B01010,Vision Organics Limited,Main Board,2017-03-24,Compulsory Delisting
WELLWININD,INE752A01018,Wellwin Industry Limited,Main Board,2017-03-24,Compulsory Delisting
XEDDTELCOM,INE301101015,Xedd Telecom Limited,Main Board,2017-03-24,Compulsory Delisting
KRISNAFILA,INE073A01019,Krishna Filament Limited ,Main Board,2017-05-02,Voluntary Delisting
AMTL,INE436N01029,Advance Metering Technology Limited,Main Board,2017-05-02,Voluntary Delisting
ANKURDRUGS,INE238D01012,Ankur Drugs and Pharma Limited,Main Board,2017-05-12,Delisting - Liquidation
ASHCONIUL,INE714F01033,Ashco Niulab Industries Limited,Main Board,2017-05-12,Delisting - Liquidation
CREWBOS,INE514G01019,Crew B.O.S. Products Limited,Main Board,2017-05-12,Delisting - Liquidation
DHANUS,INE406H01016,Dhanus Technologies Limited,Main Board,2017-05-12,Delisting - Liquidation
IOLN,INE517C01011,IOL Netcom Limited,Main Board,2017-05-12,Delisting - Liquidation
KOUTONS,INE406I01014,Koutons Retail India Limited,Main Board,2017-05-12,Delisting - Liquidation
TELEDATAIT,INE391I01018,Teledata Technology Solutions Limited,Main Board,2017-05-12,Delisting - Liquidation
TELEMARINE,INE473I01014,Teledata Marine Solutions Limited,Main Board,2017-05-12,Delisting - Liquidation
CORAL-HUB,INE108J01030,Coral Hub Limited,Main Board,2017-05-12,Compulsory Delisting
DCHL,INE137G01027,Deccan Chronicle Holdings Limited,Main Board,2017-05-12,Compulsory Delisting
EVINIX,INE961H01028,Evinix Accessories Limited (currently known as Evinix Industries Limited),Main Board,2017-05-12,Compulsory Delisting
NUCHEM,INE946A01016,Nuchem Limited,Main Board,2017-05-12,Compulsory Delisting
PAREKHPLAT,INE598A01015,Parekh Platinum Limited,Main Board,2017-05-12,Compulsory Delisting
PASUPATI,INE095D01024,Pasupati Fabrics Limited,Main Board,2017-05-12,Compulsory Delisting
POLARIND,INE057B01010,Polar Industries Limited,Main Board,2017-05-12,Compulsory Delisting
SPANCO,INE360B01026,Spanco Limited,Main Board,2017-05-12,Compulsory Delisting
TAKSHEEL,INE889I01011,Taksheel Solutions Limited,Main Board,2017-05-12,Compulsory Delisting
VIKASHMET,INE158H01013,Vikash Metal & Power Limited,Main Board,2017-05-12,Compulsory Delisting
VIKASHMET,INE158H01013,SRG Infotec (India) Limited,Main Board,2017-06-30,Voluntary Delisting
ELITE,INE584S01017,Elite Conductors Limited,ITP,2017-08-16,Exit from ITP platform
HOCL,INE048A01011,Hindustan Organic Chemicals Limited,Main Board,2017-08-24,Voluntary Delisting
ARAVALIIND,INE450C01015,Aravali Industries Limited,Main Board,2017-09-15,Compulsory Delisting
GROWTECHNO,INE184701014,Growth Techno Projects Limited,Main Board,2017-09-15,Compulsory Delisting
NAMASTEXP,INE583A01017,Namaste Exports Limited,Main Board,2017-09-15,Compulsory Delisting
NEPCAGRO,INE587A01018,NEPC Agro Foods Limited,Main Board,2017-09-15,Compulsory Delisting
NEPCTEX,INE574B01014,NEPC Textiles Limited,Main Board,2017-09-15,Compulsory Delisting
